Year,Simulation,Total Pumping,Annual Revenue
1996,1,3179.898068727844,9.913734438564141
1996,1,3066.630991077802,11.854217702630788
1996,2,3491.7724755984827,10.385545800536676
1996,2,2066.4284531821754,6.483543048909557
1996,3,3491.7724755984827,10.385545800536676
1996,3,2066.4284531821754,6.483543048909557
1996,4,2972.9752604002515,8.176689357145449
1996,4,3014.4041161711707,11.086643433033348
1996,5,3171.570331238058,9.40502428438428
1996,5,2659.0627360586004,11.358657873748804
1996,6,3375.965641634064,10.973188040086784
1996,6,3761.4428793403654,11.615755890452473
1996,7,3375.965641634064,10.973188040086784
1996,7,3761.4428793403654,11.615755890452473
1996,8,3069.5004887120976,10.94701040489203
1996,8,2951.7912965991336,11.207172574722923
1996,9,3106.7056171795152,10.388132733008307
1996,9,2813.208079656841,11.153903415690195
1996,10,3283.4476461774498,10.325902666374624
1996,10,3208.4098756846756,11.555776042606645
1996,11,3215.0415037704893,10.606170821949965
1996,11,3551.7521902103804,10.314681434645463
1996,12,3283.762307530545,10.105119848678978
1996,12,2711.7505215808187,8.874338179944964
1996,13,3283.762307530545,10.105119848678978
1996,13,2711.7505215808187,8.874338179944964
1996,14,3095.35422238472,10.50264200791979
1996,14,3529.0572765040747,8.996107964042096
1996,15,3184.096792847672,10.383581042580442
1996,15,3167.172018351277,11.24056181912364
1996,16,3184.096792847672,10.383581042580442
1996,16,3167.172018351277,11.24056181912364
1996,17,3286.9058051919383,10.19964912809665
1996,17,3372.5641400576014,11.14364933215488
1996,18,3286.9058051919383,10.19964912809665
1996,18,3372.5641400576014,11.14364933215488
1996,19,3670.4572999012134,11.35553347709875
1996,19,2889.5951631541907,10.461683972342717
1996,20,3577.135409514374,11.2978925155652
1996,20,3367.4454506509737,10.546909536419859
1996,21,3142.8194701568877,10.862711431598795
1996,21,3148.8572627369913,10.545574644511873
1996,22,3142.8194701568877,10.862711431598795
1996,22,3148.8572627369913,10.545574644511873
1996,23,3142.8194701568877,10.862711431598795
1996,23,3148.8572627369913,10.545574644511873
1996,24,3622.2473959160907,11.409385957765263
1996,24,2428.5333473843184,6.186605958612595
1996,25,3241.0066780649095,10.43485207109316
1996,25,3304.862630091446,10.79656287648653
1996,26,3248.48044880315,10.466451976928612
1996,26,3115.351716233163,11.166965393699032
1996,27,3248.48044880315,10.466451976928612
1996,27,3115.351716233163,11.166965393699032
1996,28,3187.201897470402,10.424457270345108
1996,28,2940.126408663039,10.036454892620881
1996,29,3251.5154801729577,10.635509012516247
1996,29,3538.1742956719427,11.895015490038613
1996,30,3251.5154801729577,10.635509012516247
1996,30,3538.1742956719427,11.895015490038613
1996,31,2366.8994405511935,6.300596340816336
1996,31,2733.4153482428896,9.942422169898396
1996,32,2366.8994405511935,6.300596340816336
1996,32,2733.4153482428896,9.942422169898396
1996,33,3198.225614217598,9.618933160297992
1996,33,2730.3714249674945,10.433236528714973
1996,34,3112.581031184736,10.118310003126949
1996,34,2987.0641797438543,12.343542555789307
1996,35,3112.581031184736,10.118310003126949
1996,35,2987.0641797438543,12.343542555789307
1996,36,3235.3333686291053,10.639184134594595
1996,36,3176.950930512747,12.035125180859483
1996,37,3235.3333686291053,10.639184134594595
1996,37,3176.950930512747,12.035125180859483
1996,38,3340.1850659462048,10.23295449579003
1996,38,3321.315834021947,11.766759896378863
1996,39,3465.4258449471436,11.076256781791873
1996,39,3331.484322708547,9.394350519862504
1996,40,3593.5292581381336,11.374910002276783
1996,40,3366.3796485711377,10.674856675681257
1996,41,3593.5292581381336,11.374910002276783
1996,41,3366.3796485711377,10.674856675681257
1996,42,3353.4325207255624,10.548808169826847
1996,42,3409.157911663179,10.91337680114892
1996,43,3353.4325207255624,10.548808169826847
1996,43,3409.157911663179,10.91337680114892
1996,44,3144.8435775635007,10.175722955138374
1996,44,1680.7204416920697,5.630172044547399
1996,45,3144.8435775635007,10.175722955138374
1996,45,1680.7204416920697,5.630172044547399
1996,46,3256.0240243748885,10.683888319515692
1996,46,3154.3614876538963,11.343602482238646
1996,47,3256.0240243748885,10.683888319515692
1996,47,3154.3614876538963,11.343602482238646
1996,48,3584.399699522909,11.226944294232768
1996,48,3423.21260511795,10.451862942250685
1996,49,3596.559878340381,11.339083754967884
1996,49,3612.1728206444864,10.931081239491357
1996,50,3573.840750645279,11.233681108759662
1996,50,3074.311751980605,10.598889695893421
1996,51,3573.840750645279,11.233681108759662
1996,51,3074.311751980605,10.598889695893421
1996,52,3562.8113042269015,10.60916487415556
1996,52,3307.518237846702,10.83736853678381
1996,53,3183.0241439309175,10.435758577505553
1996,53,3452.1010014610288,11.837820973946322
1996,54,3288.1369675307487,10.161361531568774
1996,54,3601.136719345991,11.902561313323972
1996,55,3288.1369675307487,10.161361531568774
1996,55,3601.136719345991,11.902561313323972
1996,56,3216.1067196228964,11.436367808750871
1996,56,2883.2050248809614,10.084705548045754
1996,57,3216.1067196228964,11.436367808750871
1996,57,2883.2050248809614,10.084705548045754
1996,58,3552.150677378865,11.429281212195518
1996,58,3427.703417904166,9.604954629351845
1996,59,3552.150677378865,11.429281212195518
1996,59,3427.703417904166,9.604954629351845
1996,60,3398.204518358768,10.610074204596396
1996,60,3143.457351570546,11.377672270533939
1996,61,3398.204518358768,10.610074204596396
1996,61,3143.457351570546,11.377672270533939
1996,62,3184.4222654069667,10.644404413696243
1996,62,2866.218960767741,11.274480416976306
1996,63,3184.4222654069667,10.644404413696243
1996,63,2866.218960767741,11.274480416976306
1996,64,3451.1502965904683,10.136827483460266
1996,64,3653.4286843833556,11.760997602547
