,0
1996-10-01,17.55188302647317
1997-10-01,17.28012002983045
1998-10-01,14.23733289677079
1999-10-01,14.722314856372922
2000-10-01,11.162242444782834
2001-10-01,12.80832138305322
2002-10-01,12.964874712890932
2003-10-01,12.953537326085847
2004-10-01,11.295628521680012
2005-10-01,15.318260308938045
2006-10-01,12.976795770232107
2007-10-01,10.054830323129185
2008-10-01,10.965515830975491
2009-10-01,13.453071455399174
2010-10-01,14.448296202041512
2011-10-01,12.432700990965074
2012-10-01,12.346695852814795
2013-10-01,7.401264484987825
2014-10-01,3.8310632962588214
2015-10-01,8.44112213790293
2016-10-01,13.469555766949155
2017-10-01,11.51330749196021
2018-10-01,12.403019615146839
2019-10-01,11.642407705230866
2020-10-01,4.009196696156902
2021-10-01,6.550431276670432
2022-10-01,9.850265559766402
2023-10-01,10.069110282939986
