,0
1905-10-01,35.06379328587455
1906-10-01,31.229615978152427
1907-10-01,31.608835949464417
1908-10-01,28.39043453942165
1909-10-01,31.59251745914909
1910-10-01,36.134592434902984
1911-10-01,26.54498642515846
1912-10-01,29.233663654290936
1913-10-01,29.10412138517151
1914-10-01,35.696037167369404
1915-10-01,33.420780521126346
1916-10-01,32.35401544049003
1917-10-01,25.922945692219415
1918-10-01,28.62805116294898
1919-10-01,26.09782763937443
1920-10-01,34.908514189512076
1921-10-01,26.07536652797951
1922-10-01,26.511583491836248
1923-10-01,22.107135749373413
1924-10-01,27.595489576052206
1925-10-01,29.18271766940493
1926-10-01,30.424455972348486
1927-10-01,26.866739082581503
1928-10-01,14.636586694028411
1929-10-01,28.165468936872447
1930-10-01,16.78434727414477
1931-10-01,21.004963308974933
1932-10-01,19.679816744870667
1933-10-01,17.122326867719355
1934-10-01,17.832997357060165
1935-10-01,29.37923870993804
1936-10-01,29.28269801109511
1937-10-01,34.953490436463284
1938-10-01,31.793910043459086
1939-10-01,27.170556246268895
1940-10-01,35.41048375238288
1941-10-01,27.974037451736052
1942-10-01,34.059662080652835
1943-10-01,28.297381007192165
1944-10-01,28.3165164247986
1945-10-01,26.52690812177768
1946-10-01,24.11608324392758
1947-10-01,29.508679062213346
1948-10-01,28.21376818884985
1949-10-01,28.384203560098573
1950-10-01,25.958882797328414
1951-10-01,32.14362567733705
1952-10-01,28.882336347930543
1953-10-01,29.344429699609602
1954-10-01,27.836935966878713
1955-10-01,24.16412059317422
1956-10-01,30.66463878373457
1957-10-01,36.7973150597907
1958-10-01,24.045535726746788
1959-10-01,29.616028487809327
1960-10-01,21.166095409909687
1961-10-01,25.092211023440935
1962-10-01,30.761024035963832
1963-10-01,25.538459015902017
1964-10-01,25.12887233746468
1965-10-01,19.1076025055122
1966-10-01,31.556658049289467
1967-10-01,27.919762192074312
1968-10-01,31.778401564434635
1969-10-01,25.303250119009796
1970-10-01,22.514772893359286
1971-10-01,25.141619575196433
1972-10-01,20.420816796772588
1973-10-01,27.069578295082128
1974-10-01,28.699639647067784
1975-10-01,21.748720726338934
1976-10-01,5.206468122098668
1977-10-01,18.993377353023387
1978-10-01,30.0125443802348
1979-10-01,30.89291577034063
1980-10-01,28.99076136733598
1981-10-01,31.86935530268803
1982-10-01,36.46493120124489
1983-10-01,28.62261344775349
1984-10-01,23.374765765345124
1985-10-01,29.997181535834773
1986-10-01,20.490450174968917
1987-10-01,7.264410529827373
1988-10-01,17.285700570250018
1989-10-01,19.342099841871434
1990-10-01,12.257221356761686
1991-10-01,11.055811452052652
1992-10-01,27.4899280412694
1993-10-01,24.525977090944373
1994-10-01,30.159228585878935
1995-10-01,25.942561822054472
1996-10-01,24.763787384658638
1997-10-01,27.325039530880087
1998-10-01,27.829649149669912
1999-10-01,33.49918522640138
2000-10-01,29.041441602456057
2001-10-01,21.272123145246777
2002-10-01,24.681882837432845
2003-10-01,24.25968799357457
2004-10-01,24.590329168529905
2005-10-01,42.27928830615385
2006-10-01,30.438998443763403
2007-10-01,18.841689937786793
2008-10-01,22.6658554544967
2009-10-01,20.24033392028401
2010-10-01,28.650054214021445
2011-10-01,29.04675291902419
2012-10-01,18.136149404210578
2013-10-01,7.325214978690202
2014-10-01,7.238870600515962
2015-10-01,15.668556108028682
